run_id,dataset,model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_optimal_threshold,n_train,n_test,cv_folds,n_iter,shap,training_time_s
20260524_190603,framingham,logreg,0.3582667311285631,0.6662735849056604,0.25161290322580643,0.6046511627906976,0.3553530751708428,0.7004560597729405,0.3006329399975536,0.4986,3392,848,5,25,False,4.1
20260524_190603,framingham,cat,0.3621591085172658,0.6816037735849056,0.2491103202846975,0.5426356589147286,0.34146341463414637,0.6833565136764025,0.2623839140314198,0.1625,3392,848,5,25,False,303.13
20260524_190603,framingham,xgb,0.35609407897211665,0.6957547169811321,0.24705882352941178,0.4883720930232558,0.328125,0.6789037314961565,0.2845719052690692,0.1764,3392,848,5,25,False,6.2
20260524_190603,framingham,rf,0.34210421272359914,0.8419811320754716,0.41935483870967744,0.10077519379844961,0.1625,0.6528015870448836,0.2648566923862289,0.4963,3392,848,5,25,False,53.85
20260524_190603,framingham,lgbm,0.3232535500114716,0.7417452830188679,0.24431818181818182,0.3333333333333333,0.2819672131147541,0.6375241237291243,0.26644839053832264,0.2205,3392,848,5,25,False,105.26
