run_id,dataset,model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,n_train,n_test,cv_folds,n_iter,shap
20260407_234231,cardio70k,xgb,0.8034639157165495,0.7356666666666667,0.7412162162162163,0.7279362972793629,0.7345162370271175,0.7989991782043253,0.7834410614685341,12000,3000,3,4,False
20260407_234231,cardio70k,logreg,0.7912418953755741,0.7226666666666667,0.7388535031847133,0.6927670869276709,0.7150684931506849,0.7849735394237475,0.7583338823781869,12000,3000,3,4,False
20260407_234231,cardio70k,lgbm,0.7792035394092792,0.7316666666666667,0.7324503311258278,0.7339084273390842,0.7331786542923434,0.7834470617360111,0.7596456257967013,12000,3000,3,4,False
