run_id,dataset,model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_optimal_threshold,n_train,n_test,cv_folds,n_iter,shap,training_time_s
20260524_191726,cardio70k,xgb,0.7808194394923734,0.7410213447949296,0.7579282868525896,0.7002355712603062,0.7279406137598531,0.8099644880995751,0.7936538230866717,0.7383,54908,13727,5,25,False,46.33
20260524_191726,cardio70k,cat,0.7803918429724838,0.7391272674291542,0.7697865904889934,0.674469964664311,0.7189829710429255,0.8095933402289304,0.7923654445217412,0.5166,54908,13727,5,25,False,826.42
20260524_191726,cardio70k,lgbm,0.7792848531490802,0.7384716252640781,0.7599870087690809,0.6890459363957597,0.7227799227799228,0.8090261412765177,0.7922882064420509,0.4935,54908,13727,5,25,False,187.65
20260524_191726,cardio70k,rf,0.7787338698043325,0.7375245865811904,0.7586374695863747,0.6886042402826855,0.7219263718453346,0.8081036110169901,0.7877533207713939,0.4953,54908,13727,5,25,False,568.25
20260524_191726,cardio70k,logreg,0.7684695073866271,0.7331536388140162,0.7327778604374349,0.7251177856301532,0.7289276992525716,0.7984083229517231,0.7818929212642898,0.463,54908,13727,5,25,False,5.07
